genius_id,title,artist,album,release_year,url,lyrics
2534,20 Feet Tall,Erykah Badu,"Album(id, artist, ...)",,https://genius.com/Erykah-badu-20-feet-tall-lyrics,"My love, what did I do
To make you fall, so far from me?
And now, I can't recall
The cause of the fall, selective memory
Then you, you built a wall
A 20 foot wall, so I couldn't see
But if I get off my knees
I might recall, I'm 20 feet tall
Whoa! Hey, I'm 20 feet tall, mmm
Yeah, oh yeah, I'm 20 feet tall
I might recall I'm 20 feet tall"
9216,4 Leaf Clover,Erykah Badu,"Album(id, artist, ...)",,https://genius.com/Erykah-badu-4-leaf-clover-lyrics,"Bootzilla, baby!
Touch a four leaf clover
Maybe we'll get over
Try and love might come your way
Here I am, on a cloud
If you want me take the chance, try love out loud
As I drift through the sky
Shooting cupid's loving arrow you just might try
So don't miss baby, take your time
You've only got one chance, yes
Touch a four leaf clover (If you wanna be with me)
Love my get you over (You better pick the right one)
Like the wind, I am free
Going places, being things I wanna be
To settle down is oh so hard
But I will grant you that one chance
So pick the right card
And don't miss it, take your time
You've only got one chance, ooh wee ooh wee ooh
Love my get you over
(Don't you take your time, young man!)
(Just one try, oh my my)
Free as a bird, yeah, yeah
To catch me is to catch a leprechaun
Hold on to your rabbit's foot
I just might be yours forever
You better
(Come on, baby, say you love me)
Love might get you over
(I know it's risky, you can't resist me)
(Touch a four leaf clover)
(You might get lucky, you just might get me)
(Come on and touch it!)
(Spades, hearts, diamonds, clubs
You better come quickly to get my love!)
(Like the wind, I am free, set me free, be with me)
(Domino, domino, domino)
(Big six, six three will get you fifteen!)"
710090,A Child with the Blues,Erykah Badu,"Album(id, artist, ...)",,https://genius.com/Erykah-badu-a-child-with-the-blues-lyrics,"Could have never known that when losin
Could hurt you so very bad
Could have never known that when chosin
Would make you so very sad
I don't know what to do
I just feel so confused
I'm a child with the blues
Take your time, smell the flowers
Make a smile for yourself
Girl, don't make livin' so hard
So hard, So hard, I keep tellin' myself
Feels like I'm goin' nowhere
Sometimes it ain't all damn fair
A child with the blues
Sisters, sisters
I know you're watchin me
There are a lot of games reachin for you constantly
When you think you're grown
You're entering the unknown
Baby, check yourself
Brace yourself
Protect yourself
Face yourself
Feels like my life is just existing
And I'm missing someone
It's hard to replace the simple fact
Cause my lover is gone, gone on
Never too young to pay your dues
And if you're walkin in my shoes
You're a child with the blues
So blue, so blue..
I can't stop the flow, can't stop it
Of wet tears in my eyes
And if you're any of the many kind of women in pain
Woman in pain, realize, realize
The same emotion we share
Movin fast but goin nowhere
Like a child with the blues
A child with the blues blue
A child with the blues, ooh"
699688,A.D. 2000,Erykah Badu,"Album(id, artist, ...)",,https://genius.com/Erykah-badu-ad-2000-lyrics,"No you won't be name'n no buildings after me
To go down dilapidated ooh
My name will be mistated, surely
His world done changed
So much yeah yeah
This world done changed
Since I been conscious
Oh, what in the world will we do?
Will we ever make it, yeah
Oh yeah know it ain't right
Oh, is it in Your plan?
Say, I won't be name'n no buildings after me
To go down dilapidated
No you won't be name'n no bulidings after me
My name won't be mistated, surely
Surely, surely...
And oh...
(Ad-libs)
To go down dilapidated, no
Surely, yeah, yeah
Mmm hmm, ooh"
9226,Agitation,Erykah Badu,"Album(id, artist, ...)",,https://genius.com/Erykah-badu-agitation-lyrics,"Oh-oh
Oh-oh-oh
Goin' through a thang now
Finna pull this thang out
What a day, what a day
What a da-ay
What a day, day
What day, what a day
What a day
But it's against the law
It's against the law
Ah, oh no, mama please
Thank you"
322315,Amerykahn Promise,Erykah Badu,"Album(id, artist, ...)",,https://genius.com/Erykah-badu-amerykahn-promise-lyrics,"More action
More excitement
More everything
Good evening, ladies and gentlemen
Across space
Step right up and step off the train
The land before time
Welcome to Amerykah (A promise)
All the freaks are here
All you have to do is make a promise (A promise, a promise)
And stay on your grind
You give it to me, I'll give it to you
Thirty thousand megawatts of power, baby
Radiating your souls
Sign right here on the dotted line
C'mon, get you some free
A promise
Ladies and gentlemen, before exiting the train (A promise, a promise)
Please leave your valuables (A promise, a promise)
Diamonds, rubies and pearls (You give it to me, I'll give it to you)
In the cabinet adjacent to the left (A promise, Amerykahn promise)
Um, the pussycats and the jackals, you can leave them with me, hahaha
Promise to you, baby, I'll love you tooth for tooth and eye for eye
'Cause we take your history
And make it modern mystery
You see what I'm saying? (Mommy, I'm scared)
Welcome all
Promise to you, baby
I'll love you true and good 'til the day I die
Oh, we love you (Just sign right here)
We love to love you (Is it gon' hurt?)
Promise, promise, Amerykhan promise
We love to suck you dry (Oh no, freedom's here)
Promise, promise, Amerykhan promise (All the while we keepin' you high)
I just want some new lips, new hips, c'mon
Promise to you, baby (Money, sex)
Anything you want, you know I'll buy
It's the amerykahn dream, everyone has one, get one
Promise to you, baby, you will never have ask to me why
Excuse, excuse me young lady, excuse me
You're causing quite a disturbance over here
I want everyone to see this
Promise, promise, Amerykhan promise (Yeah)
Does this mean we'll never see Mu again?
I think we're gonna have to make an example out of her
Rid me of her sight
Freedom whatever, give me a, give me a brain tissue sample
It might be good for later
Promise, promise, Amerykhan promise (I might need that, anyone else have any questions?)
Promise I will love you 'til the day I die
Promise I'll love you good and give you the sky (Well, go on, give it to me then)
Promise I'll never love another guy
Promise I'll give you things that you can't buy
I'll give you my nose, I'll give you my toes
I'll give you my eyes, I'll give you my ears
I'll give you my hands, I'll give you my lips
I'll give you my tongue, I'll give you my thighs (You see?)
Damn near anything you want (You see how easy it is?)
You see what we can do with a little bit of work
And effort, people?
Promise to you, baby (I love Ameryka)
I'll love you tooth for tooth and eye for eye (It's such a beautiful place)
Hey, you think I can get a new,  uh (A promise, a promise), heart?
You give it to me, I'll give it to you (This is the place where it all goes down)
A promise, a promise (Everything you could want, everything you could desire)
C'mon
Promise, promise, Amerykahn promise (Look mother, free radiation right there)
Ha-ho
Promise, promise, Amerykahn promise (I'm comin' to Amerykah, baby, welcome)
Oh
Ex-- Ex-- Excuse me sir? (Uh, yes, yes, little girl?)
Has anyone seen my forty-two laws?
Oh, I'm sorry, we're not responsible for lost articles and thangs (Oh)
Okay, so whenever he say a keyword, everybody just shout on cue
That's not science
Sh, sh, sh, you're not supposed to say it"
10730320,Annie Don’t Wear No Panties,Erykah Badu,"Album(id, artist, ...)",,https://genius.com/Erykah-badu-annie-dont-wear-no-panties-lyrics,"Annie don't wear no panties
It's a good thing, Santa Claus then didn't bring a lot of fancy drawers
I saw them in the bathroom stall there were, she took them off
They was laying on the bathroom floor they was filled with the holy ghost
So fellows, if you can't afford it I think you need to video tape record it
She was sitting on the front pew giving deacon Johnson them a good view
She might not have no drawers, but I bet she won't forget the hot sauce
She was sitting on the bathroom sink having her a faucet drink"
9215,Appletree,Erykah Badu,"Album(id, artist, ...)",,https://genius.com/Erykah-badu-appletree-lyrics,"I'd like to dedicate this to all of the Creator's righteous children
I have some food in my bag for you
Not that edible food, the food you eat?
No, I have some food for thought
Since knowledge is infinite
It has infinitely fell on me, so um
It was a stormy night
You know, the kind where the lightnin' strikes
And I was hangin' out with some of my artsy friends
Ooh, wee ooh, wee ooh
The night was long, the night went on
People coolin' out until the break of dawn
Incense was burnin' so I'm feelin' right, aight
My granny told me that when I was only a youth
I don't walk around tryin' to be what I'm not
I don't waste my time tryin' to get what you got
I work at pleasin' me 'cause I can't please you
And that's why I do what I do
My soul flies free like a willow tree
Doo wee, doo wee, doo wee
And if you don't want to be down with me
You don't want to pick from my apple tree
Then you don't want to pick from my apple tree
You just don't want to be down
I have a hoe
And I take it everywhere I go
'Cause I'm plantin' seeds so I reaps what I sow (Ya know?), ya know
Oh, on and on, and on and on
My cypher keeps movin' like a rollin' stone
I can't control the soul flowin' in me
(Ooh wee) Ooh wee
Oh my, my, my
Oh my, my, my, ah
Oh my, my, my, my, my, my, my, oh, oh, oh
I picks my friends like I pick my fruit
Oh, you just don't want to be down
Down, down (Down), down
You just don't want to be down, oh
Down, down (Mm), down
Down (Ooh), down (Ooh), down (Ooh), down (Ooh, ooh)
Down (Ooh), down (Mm), down (Mm), down (Ooh, ooh)
Down, down, down, down
To be down, oh, no, you just don't wanna be down"
2125165,Appletree (2B3 Summer Vibes Mix),Erykah Badu,"Album(id, artist, ...)",,https://genius.com/Erykah-badu-appletree-2b3-summer-vibes-mix-lyrics,"I'd like to dedicate this to all the creators and righteous children
I have some food in my bag for you
Not the edible food the food you eat, no
I have some food for thought
Since knowledge is infinite
It has infinitely fell on me, so um
It was a stormy night
You know the kind where the lightnin' strike
And I was hangin' out with some my artsy friends
Ooh wee ooh wee ooh
The night was long the night went on
People coolin' out until the break of dawn
Incense was burnin' so I'm feelin' right, a'ight
My Ganny told me that when I was only a youth
I don't walk around trying to be what I'm not
I don't waste my time trying to get what you got
I work at pleasin' me 'cause I can't please you
And that's why I do what I do
My soul flies free like a willow tree
Doo wee doo wee doo wee
And if you don't wanna be down with me
Then you don't wanna pick from my apple tree
And if you don't want to be down with me
You just don't wanna be down
I have a hoe
And I take it everywhere I go
'Cause I'm plantin' seeds so I reaps what I sow, ya know, ya know
Oh, on and on, and on and on
My cypher keeps movin' like a rollin' stone
I can't control the soul flowin' in me
Ooh wee ooh wee
I don't waste my time trying to get what ya got
You don't wanna pick from my apple tree
Oh my my my my
Oh my my my my, oh
Oh my my my my my my my
I picks my friends like I pick my fruit
Ya dum dum diddy
(You just don't wanna be down)
Oh, you just don't wanna be down, down, down, down
Oh oh, you just don't wanna be down, down, down, down, down, down, down, down
Down, down, down, down, down, down, down, down, down
Oh, oh no, don't wanna be down
No no no, just don't wanna be down"
89461,Back in the Day (Puff),Erykah Badu,"Album(id, artist, ...)",,https://genius.com/Erykah-badu-back-in-the-day-puff-lyrics,"Back in the day now
Back in the day when things were cool, hey
All we needed was bop-bop, bop-bop, bop-ba-domp
Ooh, bop-bop, bop-bop, bop-ba-domp
Well, well, well
Soulflower take me flying with you, hey
Gimme dat bop-bop, bop-bop, bop-ba-domp
Gimme some of dat bop-bop, bop-bop, bop-ba-domp
Back in the day when things were cool
We used to meet up with these dudes, hey
Then we rode out on Voges and Trues
And would ride around the park till it's after dark
Pumpin' the trunk with the windows rolled up, puff
Well, well, well say
Just gimme dat bop-bop, bop-bop, bop-ba-domp, yeah
Wailin', and singin', and jammin', and talkin'
And pumpin' the trunk with the windows rolled up, puff
Da laughin' and singin' and jammin' and talkin' and
Yeah, well, well, well
Laughin', and singin', and jammin', and talkin'
And we would ride around the park till it's after dark
And when we get home hope the dogs don't bark, puff
Puff"
